species,genus,family,species.relative,genus.relative
Tursiops truncatus,Tursiops,,,
Tursiops aduncus,Tursiops,,,
Delphinus capensis,Delphinus,,,
Stenella attenuata,Stenella,,,
Stenella coeruleoalba,Stenella,,,
Grampus griseus,Grampus,,,
Sousa chinensis,Sousa,,,
Lagenorhynchus albirostris,Lagenorhynchus,,,
Phocoena phocoena,Phocoena,,,
Monodon monoceros,Monodon,,,
Pontoporia blainvillei,Pontoporia,,,
Inia geoffrensis,Inia,,,
Lipotes vexillifer,Lipotes,,,
Hyperoodon ampullatus,Hyperoodon,,,
Platanista gangetica,Platanista,,,
Physeter catodon,Physeter,,,
Balaenoptera physalus,Balaenoptera,,,
Megaptera novaeangliae,Megaptera,,,
Hippopotamus amphibius,Hippopotamus,,,
Ovis aries,Ovis,,,
Bos taurus,Bos,,,

